id age gender name department title schedule
1030 46 1 DrAD Gastro Chief TuePM_ThuPM
1029 41 0 DrAC Dermatology Attending MonAM_WedAM
1028 52 1 DrAB Oncology Chief WedPM_FriPM
1027 38 0 DrAA Neurology Attending TueAM_ThuAM
1026 47 1 DrZ Cardiology Chief MonPM_WedPM
1025 34 0 DrY ENT Resident TueAM_FriAM
1024 50 1 DrX Orthopedics Chief MonAM_ThuPM
1023 36 0 DrW Pediatrics Resident TuePM_SatAM
1022 45 1 DrV Surgery Chief WedAM_FriPM
1021 39 0 DrU InternalMed Resident MonPM_ThuAM
1020 48 1 DrT Gastro Attending TueAM_ThuPM
1019 42 0 DrS Dermatology Chief MonAM_WedPM
1018 53 1 DrR Oncology Attending WedAM_FriAM
1017 33 0 DrQ Neurology Resident TuePM_ThuPM
1016 44 1 DrP Cardiology Attending MonAM_WedAM
1015 46 0 DrO ENT Attending TueAM_FriPM
1014 35 1 DrN Orthopedics Resident MonPM_ThuPM
1013 49 0 DrM Pediatrics Attending TueAM_SatAM
1012 37 1 DrL Surgery Resident WedPM_FriAM
1011 40 0 DrK InternalMed Attending MonAM_ThuPM
1010 43 1 DrJ Gastro Chief TuePM_ThuAM
1009 34 0 DrI Dermatology Attending MonPM_WedAM
1008 52 1 DrH Oncology Chief WedAM_FriPM
1007 39 1 DrG Neurology Attending TueAM_ThuPM
1006 47 0 DrF Cardiology Chief MonAM_WedPM
1005 36 1 DrE ENT Resident TuePM_FriAM
1004 41 0 DrD Orthopedics Attending MonPM_ThuAM
1003 50 1 DrC Pediatrics Chief TueAM_ThuPM
1002 38 0 DrB Surgery Attending WedAM_FriPM
1001 45 1 DrA InternalMed Chief MonAM_TuePM
